School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Austin Peay,34,-3.28,-2.49,2512,2446,1370,845,1821,.464,240,661,.363,516,721,.716,309,1107,408,200,130,549,720,915,2012,.455,202,592,.341,480,737,.651,443,1209,453,225,103,478,671
Ball State,32,-1.22,-1.99,2410,2362,1295,841,1977,.425,258,715,.361,422,580,.728,335,1160,419,222,113,384,608,856,1895,.452,245,727,.337,453,643,.705,318,1210,453,170,112,423,547
Baylor,34,14.59,9.17,2571,2369,1375,836,2016,.415,261,774,.337,436,609,.716,367,1091,499,197,142,400,613,941,2007,.469,217,608,.357,470,640,.734,400,1292,516,185,152,463,608
Belmont,33,5.54,-2.88,2562,2284,1320,836,1943,.430,228,680,.335,384,521,.737,302,1068,380,202,90,382,572,901,1853,.486,378,1005,.376,382,517,.739,258,1133,529,161,82,410,531
Bethune-Cookman,32,-12.21,-12.48,2621,2543,1290,883,2080,.425,231,700,.330,546,780,.700,396,1239,488,213,114,444,674,903,2039,.443,241,759,.318,575,820,.701,424,1346,501,202,123,507,670
Binghamton,31,-10.29,-6.36,2147,2181,1245,780,1750,.446,235,616,.381,386,545,.708,278,1085,430,177,83,372,495,787,1775,.443,235,671,.350,338,528,.640,283,1066,376,170,131,381,522
Boise State,32,11.21,3.05,2502,2210,1300,794,1859,.427,223,681,.327,399,551,.724,203,972,407,194,98,380,568,878,1903,.461,307,809,.379,439,595,.738,318,1232,427,183,70,433,573
Boston College,35,9.00,7.20,2673,2610,1415,938,2109,.445,309,855,.361,425,571,.744,336,1212,483,197,108,435,614,948,2105,.450,298,831,.359,479,646,.741,371,1293,492,175,110,441,570
Boston University,31,-8.34,-5.84,2186,2226,1240,793,1762,.450,252,711,.354,388,533,.728,303,1041,411,198,93,427,541,800,1730,.462,229,614,.373,357,559,.639,296,1044,420,229,103,427,531
Bowling Green State,32,-6.38,-2.88,2429,2490,1305,893,1949,.458,261,709,.368,443,614,.721,302,1168,457,200,114,404,653,827,1963,.421,241,690,.349,534,730,.732,372,1226,425,189,82,408,569
Bradley,33,2.08,0.36,2223,2136,1320,716,1768,.405,243,737,.330,461,627,.735,326,1094,430,209,87,447,627,768,1788,.430,217,613,.354,470,665,.707,359,1178,447,214,133,441,626
Brigham Young,35,8.04,1.53,2600,2372,1415,878,1955,.449,251,746,.336,365,556,.656,263,1100,454,212,101,444,639,919,1905,.482,225,649,.347,537,716,.750,242,1146,533,224,133,403,596
Brown,27,-7.78,-4.67,2080,2133,1100,741,1558,.476,205,557,.368,446,631,.707,247,959,366,182,126,388,562,695,1631,.426,186,588,.316,504,667,.756,310,988,338,174,81,364,565
Bryant,31,-18.75,-5.43,2169,2582,1245,921,1867,.493,308,760,.405,432,616,.701,354,1236,500,202,132,394,528,771,1881,.410,259,755,.343,368,522,.705,312,1000,417,190,43,401,600
Bucknell,35,4.48,-3.46,2837,2559,1420,911,2138,.426,224,677,.331,513,738,.695,360,1240,448,231,116,438,742,965,2050,.471,280,804,.348,627,872,.719,324,1281,505,194,152,437,655
Buffalo,36,7.99,0.25,3047,2742,1455,936,2179,.430,239,728,.328,631,860,.734,389,1313,415,207,135,496,657,1105,2334,.473,351,948,.370,486,695,.699,426,1388,597,225,146,446,755
Butler,35,16.92,10.55,2763,2540,1430,877,1954,.449,274,735,.373,512,689,.743,278,1137,440,179,120,484,586,1020,2155,.473,287,805,.357,436,562,.776,319,1198,489,232,100,391,642
Cal Poly,31,-11.55,-1.83,2082,2302,1270,816,1790,.456,228,594,.384,442,593,.745,307,1143,448,182,111,347,491,721,1817,.397,267,746,.358,373,478,.780,291,1034,372,154,122,366,565
Cal State Bakersfield,30,-6.58,-0.73,1981,2068,1200,679,1597,.425,244,693,.352,466,664,.702,291,1009,392,180,82,407,576,697,1670,.417,185,613,.302,402,578,.696,341,1068,387,182,87,416,597
Cal State Fullerton,32,-0.92,-1.02,2318,2245,1290,768,1861,.413,220,635,.346,489,647,.756,320,1074,396,180,114,413,627,804,1721,.467,167,500,.334,543,745,.729,276,1123,403,201,106,455,578
Cal State Northridge,30,-13.51,-3.55,1983,2206,1215,801,1726,.464,194,544,.357,410,567,.723,323,1104,428,176,110,333,487,731,1689,.433,186,514,.362,335,473,.708,247,940,366,149,74,365,533
